ID	REND	HESTUDIO	MOT	SEXO	SELEC	STUAULA	GASTO
1	4	NA	2	1	8.9	14.3	1.275
2	5.5	NA	19	0	7.2	32.8	1.625
3	5.1	NA	34	1	8.3	18.9	NA
4	1.5	NA	NA	1	9.2	18.7	NA
5	6.9	83	80	1	10	16.7	NA
6	7.2	88	93	0	7.7	14	2.24
7	7.6	NA	NA	1	8.4	19.4	1.268
8	4.4	50	67	0	6.8	11.4	1.96
9	3.3	NA	19	1	8.8	20.1	1.3
10	4.3	NA	52	0	6.9	17.9	NA
11	6.1	NA	NA	0	8.5	14.7	NA
12	7	60	80	0	7.4	14.4	2.394
13	4.7	NA	NA	0	7.5	14.3	1.377
14	4.6	NA	NA	0	7.8	15.5	1.482
15	6.5	NA	NA	0	8.4	12.2	NA
16	5	NA	67	1	9.9	17.3	1.765
17	3.3	NA	34	1	8.8	6.7	2.5875
18	4.3	NA	67	1	9	13.3	1.425
19	1.5	55	19	0	6	11.9	2.06
20	NA	51	52	1	8.8	10	1.795
21	3.9	NA	NA	1	6.5	9.5	2.382
22	4.8	55	67	1	10.2	18.9	NA
23	4.1	43	52	1	9.6	21.7	1.864
24	4.9	57	67	1	10.4	19.6	2.108
25	NA	NA	NA	1	8.5	42.6	1.155
26	NA	2	1	1	8.6	16.2	NA
27	4.8	NA	34	1	8.9	19.6	NA
28	3.9	NA	34	1	9.3	20	NA
29	3.6	NA	52	1	9.5	20.5	1.3
30	6.8	NA	NA	1	8.6	19	NA
31	6.3	86	93	0	7.6	13.1	1.5975
32	1.9	NA	10	1	9.1	14.7	NA
33	3.9	NA	NA	1	9.7	14.8	NA
34	NA	31	34	0	8.2	12.8	1.85
35	3.6	44	52	0	8.1	16.6	2.273
36	6	41	34	0	7.5	12.4	NA
37	4.8	14	34	1	9.9	20.3	NA
38	4.9	NA	NA	1	9.1	20.4	NA
39	4.9	14	NA	1	9.3	20.3	NA
40	5.9	65	34	1	9.4	19.8	2.4385
41	5	NA	NA	1	9.4	18.5	2.431
42	6.3	29	34	1	9.2	18.9	2.525
43	4.1	18	19	1	9.7	19.5	NA
44	4.3	6	10	1	9.7	20.3	NA
45	5.5	9	10	1	9.1	17.4	NA
46	4	54	52	1	8.3	16.1	2.5945
47	2.3	28	10	0	5.9	15.7	NA
48	9.1	99	99	0	8	8.9	NA
49	4.3	NA	NA	0	6.6	10.4	NA
50	4.4	29	NA	0	5.8	7.8	NA
51	4.9	25	19	0	7.8	12.6	1.9275
52	NA	11	10	0	6.7	15.4	NA
53	6.4	78	89	0	6.9	10.3	NA
54	7.2	55	34	0	6.7	11.9	NA
55	6.9	NA	52	0	8	12.3	1.9125
56	6.6	87	89	0	8.5	11.6	3.385
57	4.3	33	34	0	7.3	18.6	2.062
58	7.8	95	NA	1	10.1	15.8	NA
59	7.6	82	80	1	10	14.5	NA
60	7.7	92	NA	1	10.2	11.8	NA
61	6.2	57	67	1	9.3	13.4	NA
62	6.6	92	93	1	9.8	13.9	NA
63	6.9	67	NA	1	10.1	18.9	NA
64	7.3	NA	NA	0	7.7	8.9	3.1025
65	10	NA	NA	0	8.8	13.9	NA
66	8.7	79	80	1	7.9	14.9	2.652
67	5.2	51	NA	0	7.8	13.6	NA
68	6	NA	34	1	8.3	27.9	1.865
69	8.4	NA	NA	0	8.2	11.3	2.095
70	4	37	52	1	9.4	21.5	NA
71	2.5	19	19	1	9.4	21.1	NA
72	5.3	40	52	0	7.7	14.8	2.74
73	3.6	33	19	1	8.4	19.4	2.19
74	8.8	NA	NA	1	9.1	8.2	NA
75	5.2	26	34	1	8.4	19.4	1.8775
76	9.1	NA	NA	0	8.1	10.7	3.15
77	NA	NA	NA	1	8.3	15.5	1.968
78	9.4	80	89	0	8.7	15.1	NA
79	7.9	40	NA	0	7.8	15.6	2.51
80	8.6	NA	NA	0	8.7	12	NA
81	7.6	NA	NA	0	6.6	11.2	2.3
82	9.1	NA	NA	0	8.2	10.4	2.845
83	7.1	94	NA	1	7.6	8.3	NA
84	5.1	34	NA	0	7	7.9	3.405
85	6.6	51	NA	0	9.1	10.7	3
86	5	19	NA	1	8.3	16.9	2.158
87	9.9	NA	NA	0	9.2	5.8	3.255
88	2.6	NA	NA	1	8.6	13.7	1.905
89	8.4	5	NA	0	7.9	14.4	2.337
90	7.5	NA	NA	0	8.2	9.3	3.204
91	NA	NA	NA	0	8	6.6	2.7
92	7.2	NA	NA	0	9.3	7.6	3.164
93	9.5	NA	NA	0	9.2	7.2	3.5655
94	4.6	25	19	0	9.4	7.5	1.875
95	NA	15	19	0	6.1	5.7	3.4575
96	9.6	47	52	0	6.6	8.3	3.215
97	7.2	30	19	0	7.6	12.6	NA
98	5.8	4	1	0	8.3	13.8	1.698
99	3.3	12	10	0	7.5	23.2	NA
100	5.7	87	NA	0	8.3	10.6	2.07
101	NA	23	52	0	6.6	15.1	NA
102	NA	NA	NA	1	9.3	11.8	1.334
103	5.9	83	89	0	7.9	12.8	NA
104	6.8	34	67	0	7.9	17.4	2.4325
105	NA	NA	NA	0	7.7	12.1	2.19
106	6.5	26	34	0	7.8	19	2.8
107	2.3	32	NA	0	7.5	20.4	2.37
108	NA	19	34	0	7.3	72.4	2.325
109	7.3	NA	NA	0	8.2	12.5	2.2825
110	6.6	NA	NA	1	10.2	13.4	2.09
111	4.7	78	67	1	9.5	17	1.888
112	5.9	NA	NA	0	6.9	7.7	NA
113	6.2	NA	NA	1	8.4	17	NA
114	3.8	13	NA	1	8.8	18.9	NA
115	6.3	NA	NA	0	8.2	16.3	1.97
116	4.9	41	NA	0	7.1	13.7	NA
117	3.2	26	NA	1	8.7	16.5	NA
118	3.9	NA	NA	1	8.5	13.9	1.185
119	3.6	44	52	1	7.7	17.3	1.6095
120	4.6	16	NA	1	10	19.7	NA
121	3.4	NA	NA	1	9.1	19	NA
122	9.1	65	80	0	8.3	9.2	2.0405
123	8.3	72	80	0	8.6	17.8	2.745
124	2.1	17	10	0	8.4	15.7	NA
125	5.3	NA	NA	1	8.7	17.5	NA
126	6.7	90	96	0	7.2	13.1	NA
127	3.1	48	NA	0	6.8	13.2	1.675
128	4.8	2	2	1	8.6	19	NA
129	6.5	65	67	0	8.1	12.5	2.7825
130	5.4	23	34	0	7.2	16.8	NA
131	6.3	86	NA	1	10.1	14.7	1.8
132	4.5	15	34	1	9.4	20	1.47
133	5.2	69	67	0	6.7	7.6	NA
134	4	22	NA	1	9.2	19.2	1.4865
135	5.2	7	10	1	8.7	21.4	1.3695
136	NA	17	10	0	6.6	14.1	2.745
137	NA	NA	19	0	8.1	16.8	NA
138	4.4	15	34	1	8.1	12.1	NA
139	5.8	NA	67	0	8	14.8	1.41
140	5.6	NA	34	0	6.8	9.1	NA
141	7.1	NA	NA	0	6.7	9.7	NA
142	5.1	NA	34	0	7	14.3	NA
143	8.5	90	89	0	9	14.4	NA
144	8	NA	NA	0	7.1	17.5	NA
145	4.1	NA	NA	0	9	13.4	NA
146	7.5	NA	67	0	7.2	12.1	NA
147	5.3	NA	52	0	6.7	10.6	1.725
148	6	NA	52	0	7.3	14.3	NA
149	5.4	NA	52	1	9.8	21	NA
150	1.8	NA	5	1	8.7	15.6	NA
151	8.3	94	97	0	8.2	12.9	2.045
152	8	22	5	0	6.8	15.9	NA
153	7.7	NA	NA	0	7.6	10.7	1.985
154	5.9	NA	34	0	7.2	10.8	1.875
155	5.2	NA	34	0	6.8	17.7	1.87
156	7.5	79	80	0	8.1	11.4	NA
157	5.6	44	67	0	7.3	11.6	2.05
158	7.6	75	89	0	7.7	16.4	NA
159	7.4	61	52	0	7.2	13.1	2.1725
160	5.6	NA	52	1	9.8	17.3	NA
161	9.2	97	98	0	9.6	6.8	NA
162	5.4	NA	NA	0	8	14.6	NA
163	9	77	NA	0	6.9	9.6	2.672
164	8	72	67	0	7.7	16.3	2.07
165	7.7	NA	10	0	7.4	12.2	NA
166	4.4	NA	52	1	9.7	14.9	1.628
167	4.3	NA	34	1	8.9	16.5	1.799
168	2.8	NA	NA	0	7.8	21.9	2.055
169	3.4	NA	34	1	9.9	10	2.544
170	5.5	NA	52	1	9.4	17.2	1.5965
171	5.9	25	34	0	8	12.1	1.76
172	5.1	28	34	1	10.3	17.7	NA
173	NA	44	52	0	7.6	14.6	1.5
174	8.2	NA	NA	0	8.2	11.1	2.51
175	7.7	75	NA	0	8.5	15.8	2.17
176	6	69	52	0	7.6	12.5	2.02
177	7.2	67	NA	0	7.4	9.9	1.865
178	6.4	NA	34	0	7.1	15.3	1.909
179	6.4	76	80	0	7.8	10.6	1.7425
180	4.7	31	34	0	6.8	11.8	NA
181	3.8	8	5	1	9.2	22	1.596
182	6.8	62	80	1	10.7	21.3	NA
183	4.1	NA	NA	1	9.4	16	NA
184	2.5	9	10	1	9.7	10.4	NA
185	3.3	NA	NA	1	8.8	18.2	NA
186	3.3	NA	NA	1	8.9	14.4	NA
187	6.1	21	NA	0	7.5	10.4	NA
188	3.4	21	34	0	7.9	39.8	1.891
189	6.7	63	80	1	10.7	18.2	NA
190	NA	26	52	1	NA	NA	NA
191	4.8	20	34	0	6.4	12.5	NA
192	NA	NA	NA	0	7.2	10.6	NA
193	7.5	8	19	0	6.5	10.2	2.065
194	NA	NA	NA	0	5.6	4.9	NA
195	9.8	87	89	0	8.1	14.2	2
196	9.7	96	NA	0	9.6	13.1	NA
197	9.5	NA	NA	0	8.3	14.2	1.63
198	7.2	NA	NA	0	7.5	9.9	2.0975
199	5.8	5	52	0	7	13.1	NA
200	7.4	NA	34	0	7.1	11	1.838
201	6.7	81	89	0	7.6	12.7	2.195
202	6.4	82	89	0	7.9	12.2	2.1615
203	8.7	NA	67	0	7.8	12.5	1.325
204	7.7	73	89	0	8.7	15	2.285
205	4.7	46	52	0	7.5	23.6	1.55
206	3.2	NA	19	0	7.5	12.6	1.68
207	NA	NA	34	0	6.8	17.2	1.7
208	6.9	NA	19	0	6.5	12.3	1.82
209	5.6	NA	52	0	7.5	13	1.839
210	6.4	NA	NA	0	7.1	11.3	1.7775
211	2.1	NA	34	0	6.6	13.6	1.825
212	6.8	NA	52	0	7.9	14.9	1.5375
213	4.5	34	52	0	6.9	16.5	1.81
214	6.2	NA	NA	1	10.1	13.1	NA
215	7.8	NA	52	0	7.3	17.4	NA
216	6.7	75	80	0	7.8	12.4	1.805
217	4	NA	NA	0	6.9	13.3	1.555
218	6.5	NA	67	0	7.3	11	2.05
219	5.6	NA	52	0	6.8	8.8	1.79
220	4.4	NA	NA	1	8.7	18.1	NA
221	4.9	NA	19	0	7.1	25	NA
222	5	NA	19	1	8.7	19.3	1.572
223	6.8	NA	34	0	7	12.4	1.625
224	3.6	16	52	0	6.8	16.1	NA
225	5.3	NA	52	0	6.7	10	1.705
226	5.7	NA	67	1	10.2	13.7	NA
227	3.2	NA	34	1	8.8	20.4	NA
228	NA	59	67	0	7.6	12.1	1.382
229	5.6	NA	NA	0	6.6	10.1	NA
230	8.9	NA	19	0	6.6	10.6	NA
231	7.4	89	96	0	7.7	11.4	2.135
232	6.3	26	34	0	8	13	NA
233	3.9	NA	10	1	9.8	19.8	1.598
234	1.9	NA	NA	1	8	15	1.341
235	NA	NA	5	0	7.9	19.3	1.775
236	6.1	NA	NA	0	7.1	13.4	NA
237	6.4	12	19	0	7.2	14.1	NA
238	6.6	52	67	0	7.4	10.5	1.946
239	4.5	NA	NA	1	9.6	19.1	1.5745
240	6.6	81	89	0	7.3	11.3	1.745
241	6.1	NA	19	0	8.5	14.1	NA
242	3.6	NA	10	1	9	21.8	NA
243	5.8	NA	NA	1	9.5	24.6	.653
244	5.9	NA	NA	0	7.4	10.5	NA
245	3.7	62	67	1	10	15.9	1.49
246	1.9	46	34	1	9.3	17.9	1.5615
247	3.4	NA	10	1	9.3	21.1	1.155
248	2.1	NA	19	1	9.5	20.6	NA
249	3.5	NA	2	1	8.2	19.6	NA
250	3	NA	10	1	9.9	22.7	NA
251	4.9	26	34	0	8.5	14.4	NA
252	3.5	10	NA	1	7.5	15.2	1.815
253	5.9	NA	NA	1	8.1	15.9	1.985
254	8.5	24	NA	0	7.4	27.2	NA
255	6.4	NA	NA	1	7.1	15.1	1.84
256	1.7	3	NA	1	8	22	2.0375
257	NA	3	5	1	7.9	16.3	NA
258	9	98	99	0	8.8	3.3	3.37
259	5.6	78	52	1	8.6	17.9	2.345
260	6.4	NA	NA	0	6.8	7.2	NA
261	6	57	NA	1	9.1	17.6	2.24
262	9.4	94	NA	1	9.1	6.8	NA
263	6.3	85	NA	1	10.1	18.1	2.573
264	5.5	85	67	1	8.9	18.4	2.204
265	3.5	2	NA	1	8.2	17.8	1.79
266	7.2	37	NA	0	7.5	10.2	NA
267	6	69	NA	0	7.6	12.5	2.67
268	6.9	NA	NA	0	7.4	14.7	NA
269	10	99	89	0	8	8.4	2.65
270	8.2	NA	NA	0	6.4	11.7	NA
271	8.8	NA	NA	0	8.2	13.8	NA
272	8	64	NA	0	8.2	16.8	3.1
273	3.8	NA	NA	0	8.6	10.2	NA
274	9	NA	NA	0	9.7	16.6	3.48
275	8.4	NA	NA	0	8.6	9.8	3.375
276	8.6	26	NA	0	6.8	11.3	NA
277	9.5	95	NA	0	8.5	11.3	NA
278	5.8	7	NA	0	7.6	8.7	2.725
279	7	56	NA	0	7.3	17.3	NA
280	6.2	71	NA	0	8.2	18	3.891
281	6.6	61	NA	0	7.6	14.2	2.035
282	5.3	48	NA	1	9	16.1	2.082
283	9.4	99	99	0	9	10.1	2.9875
284	5.1	39	NA	1	9	17.1	1.9955
285	5.7	28	NA	1	8.4	14.7	2.015
286	5.7	29	NA	1	7.5	14.2	2.165
287	4.5	5	NA	1	9.2	21	1.757
288	4	12	NA	1	8.3	21	1.95
289	NA	8	NA	0	7.4	27.7	2.812
290	9	NA	NA	0	8.4	10.3	NA
291	9.7	68	NA	0	8.4	13	NA
