ID	IQ	REND
1	110	6.75
2	113	7.15
3	80	3.1
4	101	2.9
5	88	1.6
6	117	7.25
7	120	6
8	124	5.4
9	125	7.95
10	83	3.15
11	122	11.05
12	92	5.6
13	107	1.6
14	87	5.05
15	102	4.75
16	131	10
17	85	3.25
18	81	1.75
19	93	1.95
20	93	1.05
21	99	6.4
22	91	6
23	119	5.15
24	106	7
25	85	4.3
26	94	3.95
27	106	5.85
28	86	4.45
29	96	4.8
30	111	4.6
31	118	4.25
32	108	7.85
33	98	3.9
34	103	7.85
35	110	4.7
36	109	3.75
37	99	6.4
38	76	4.9
39	111	2.15
40	108	5.05
41	88	-.15
42	80	.95
43	88	2.45
44	105	4.35
45	109	4.55
46	114	9.85
47	108	5.05
48	96	7.85
49	106	2.15
50	109	7.2
51	127	4.8
52	107	4.75
53	86	3.05
54	121	6.35
55	98	0
56	107	3.65
57	99	5.45
58	122	8.1
59	92	2.05
60	120	6.15
61	105	4.2
62	89	1.7
63	121	6.15
64	109	6.45
65	84	1.95
66	104	2.1
67	105	3.55
68	88	3.4
69	109	5.65
70	118	7.45
71	83	5.3
72	106	5.1
73	126	4.7
74	77	2.5
75	124	5.25
76	98	4
77	102	5.4
78	99	5.3
79	89	2.95
80	76	1.15
81	94	3.35
82	99	6.25
83	128	5.1
84	83	5.4
85	71	2.8
86	94	6.25
87	119	3.5
88	104	6.8
89	92	7.75
90	122	6.4
91	87	8
92	104	1.2
93	82	2.9
94	81	5.4
95	106	1.05
96	63	2.25
97	116	7.3
98	101	4.05
99	106	6.1
100	114	5.15
101	102	7.8
102	91	3.75
103	82	.9
104	121	4.9
105	78	3.8
106	108	5.2
107	104	5.05
108	125	6.35
109	96	2.9
110	96	4.4
111	94	6.3
112	101	6.4
113	81	1.45
114	108	.9
115	103	4.55
116	135	10.15
117	61	1.55
118	91	1.85
119	97	-1.2
120	114	7.85
121	118	2.55
122	111	2.85
123	79	4.45
124	92	1.8
125	85	3
126	97	3.4
127	104	2.8
128	87	1.25
129	122	3.85
130	83	2.25
131	118	7.7
132	132	5.05
133	76	1.55
134	107	7.1
135	78	1.6
136	107	4.2
137	100	5.2
138	108	3.85
139	94	4.45
140	91	4.4
141	102	5.9
142	113	5.4
143	94	7.3
144	108	7.85
145	104	2.9
146	107	9.2
147	90	4.55
148	99	3.8
149	114	6.45
150	107	6.05
151	109	6.55
152	118	9.65
153	127	6.6
154	113	3.7
155	117	3.2
156	109	8.15
157	92	5
158	110	6.7
159	95	4
160	79	4.05
161	97	3.35
162	87	5.15
163	99	2.95
164	95	6.25
165	127	6.75
166	84	3.95
167	87	2.35
168	127	8.25
169	94	3.25
170	83	4.05
171	97	2.85
172	86	4.6
173	116	6.75
174	101	6.4
175	102	4.35
176	127	7.4
177	122	4.5
178	103	5.85
179	86	3.55
180	101	4.25
181	119	8.4
182	125	7
183	95	3.6
184	93	2.2
185	81	3.8
186	106	7.7
187	64	-1.05
188	91	4.8
189	106	3
190	84	5.1
191	67	3.85
192	112	4.5
193	109	5
194	55	2.2
195	76	7
196	131	6
197	93	5.8
198	107	7.25
199	75	1.65
200	130	7.6
201	117	4.4
202	101	2.25
203	94	3.9
204	82	5.7
205	88	1.65
206	76	.6
207	108	4.5
208	97	5.05
209	101	4.35
210	78	6.7
211	97	5.95
212	117	4.65
213	116	6.45
214	87	7.55
215	95	3.1
216	75	8.85
217	91	6
218	104	7.7
219	92	5.35
220	80	1.9
221	105	6.95
222	133	7.45
223	110	9.3
224	125	8.65
225	116	8.85
226	125	8.6
227	101	4
228	97	5.25
229	84	6
230	113	1.55
231	101	3.15
232	81	3.4
233	97	3.55
234	99	4.7
235	74	.7
236	105	6.1
237	115	12.15
238	107	6.2
239	123	7.25
240	97	7.1
241	96	5.7
242	92	4.45
243	80	3.7
244	116	5.75
245	129	9.4
246	111	7
247	110	3.3
248	131	3.2
249	118	7.05
250	78	2.8
251	74	2.35
252	139	8.2
253	97	5.1
254	102	6.15
255	117	7.5
256	77	4.2
257	106	8
258	121	8.65
259	117	5.3
260	120	6.5
261	99	5.05
262	86	4.2
263	129	6.25
264	81	-1
265	114	5.6
266	70	1.5
267	128	5.75
268	110	4.65
269	95	6.2
270	112	7.85
271	109	8.75
272	83	10.4
273	110	4.75
274	108	3.15
275	109	7.45
276	89	5.1
277	64	3.8
278	102	7.8
279	98	6.45
280	102	3.95
281	85	4.85
282	101	4.8
283	112	6.5
284	113	5.5
285	72	3.3
286	113	4.55
287	92	3.2
288	115	5.1
289	96	2.2
290	99	8.65
291	119	2
292	75	2.85
293	107	7.3
294	99	7.7
295	101	7.85
296	118	6.05
297	102	2.6
298	103	5.8
299	120	6.7
300	83	2.45
301	110	5.95
302	117	6.25
303	87	4.85
304	76	-.3
305	93	4.1
306	115	6.55
307	115	9.75
308	93	2.3
309	93	2.6
310	101	2.75
311	114	4.9
312	90	.05
313	121	7.6
314	90	5.5
315	94	7.35
316	102	5.95
317	122	7.15
318	97	2.65
319	89	4.05
320	104	6.15
321	112	5.8
322	106	-.6
323	95	3.3
324	124	9.5
325	104	5.35
326	95	5.35
327	88	6.7
328	81	2.2
329	103	5.85
330	93	-.15
331	89	1.95
332	94	4.05
333	111	6.35
334	121	2.3
335	103	6.8
336	109	8.1
337	95	5.35
338	88	-.55
339	112	4.8
340	88	4.8
341	149	9.4
342	113	8.65
343	99	6.05
344	89	4.75
345	119	6.3
346	80	7.7
347	81	2.75
348	103	8.55
349	98	5.4
350	73	4.45
351	86	5.55
352	120	9.15
353	96	4.45
354	77	4.35
355	137	6.4
356	98	7.55
357	107	3.05
358	116	7.2
359	125	7.55
360	91	2.5
361	107	3.75
362	116	3.25
363	65	.7
364	130	7.95
365	89	6.45
366	104	3.85
367	106	2
368	112	6.15
369	107	1.3
370	91	4.2
371	120	3.55
372	87	3.9
373	89	4.45
374	79	4.8
375	113	5.35
376	69	1.2
377	91	4.5
378	88	2.55
379	104	7.2
380	114	4.2
381	88	4.75
382	90	1
383	107	6.25
384	102	5.75
385	95	-.2
386	82	4.35
387	120	1.65
388	107	6.55
389	116	9.35
390	91	2.6
391	111	3.75
392	133	4.7
393	91	3.65
394	119	12.45
395	99	6.1
396	79	1.9
397	102	4.5
398	115	5.6
399	115	8.75
400	105	4.55
401	115	6.25
402	109	6
403	85	3.7
404	108	5.05
405	62	.2
406	91	5.25
407	82	5.2
408	116	5.6
409	73	1.15
410	101	3.05
411	143	6.4
412	95	9.7
413	103	4.4
414	93	4.4
415	90	3.3
416	71	5.7
417	103	6.45
418	82	4.4
419	121	6.4
420	111	6.9
421	104	6.5
422	115	5.85
423	99	3.05
424	104	1.85
425	49	1.7
426	89	-1.35
427	118	5.4
428	99	6.95
429	106	3.95
430	74	.9
431	106	1.75
432	84	3.95
433	85	3.7
434	81	8.15
435	100	4.75
436	81	-.3
437	102	6.05
438	111	5.1
439	101	6.2
440	91	8.05
441	96	3.4
442	118	4.8
443	116	5.1
444	95	.75
445	99	6.1
446	95	4.25
447	116	3.2
448	104	4.75
449	102	5
450	84	.8
451	107	5.8
452	100	6.55
453	105	2.5
454	116	5.3
455	83	6.15
456	107	5.45
457	79	2.2
458	81	1.45
459	72	4.4
460	87	4.85
461	101	4.15
462	94	1.4
463	87	6.65
464	111	7.5
465	74	2.2
466	97	4.85
467	115	9
468	86	3.5
469	76	2.4
470	99	4.4
471	115	7.85
472	108	7.65
473	109	7.15
474	90	5.4
475	103	2.55
476	95	5.9
477	106	2.25
478	106	9.75
479	94	8.75
480	113	6.55
481	89	7.35
482	95	4.6
483	104	6.45
484	92	5.95
485	77	4.25
486	105	7.55
487	107	6.8
488	103	6.05
489	95	3.4
490	119	7.95
491	129	7.55
492	84	3.25
493	109	4.85
494	68	2.75
495	110	2.5
496	125	3.55
497	119	9.5
498	94	4.25
499	85	4.7
500	102	5.6
