id	aprendizaje	escala_mot	horas_estudio	salario_padres	estudio_padres	programa
1	NA	6	12	0	4	1
2	8	NA	10	2	3	1
3	4	5	5	1	1	0
4	5	5	4	3	1	0
5	7	6	3	4	2	0
6	6	7	6	3	1	1
7	8	5	10	2	2	1
8	3	NA	4	1	1	0
9	NA	2	6	0	0	0
10	5	3	5	1	2	1
11	7	2	7	2	1	0
12	9	4	14	1	4	1
13	7	3	8	3	3	1
14	5	NA	6	2	2	1
15	3	2	7	1	1	1
16	6	5	7	2	3	1
17	8	7	8	3	4	1
18	9	8	11	3	NA	1
19	10	6	15	2	NA	1
20	7	7	NA	1	3	1
21	8	6	9	0	3	1
22	4	4	5	1	0	0
23	6	4	5	2	1	1
24	8	3	12	NA	3	1
25	3	4	4	3	0	1
26	1	NA	2	2	3	0
27	5	6	2	3	3	0
28	7	8	6	2	2	1
29	8	9	7	1	NA	0
30	0	3	NA	2	3	0
31	9	7	8	0	2	1
32	8	7	6	3	1	1
33	10	5	9	2	4	1
34	3	4	3	1	3	0
35	5	5	4	0	2	1
36	6	6	7	3	2	0
37	2	4	NA	1	1	0
38	8	5	7	1	3	0
39	6	4	6	2	4	1
40	9	NA	14	1	4	1
41	NA	3	NA	1	0	0
42	0	3	0	3	0	0
43	3	5	8	3	0	0
44	NA	4	8	3	3	0
45	7	6	9	2	2	0
46	8	6	4	3	1	1
47	9	NA	7	3	1	1
48	3	4	4	3	0	0
49	6	6	NA	3	2	0
50	NA	3	7	4	1	0
51	4	NA	6	0	1	0
52	3	3	NA	1	1	0
53	0	NA	0	1	2	0
54	10	NA	12	1	4	1
55	7	8	8	0	2	0
56	3	6	6	1	2	0
57	6	NA	5	1	4	0
58	9	5	14	0	4	1
59	5	6	7	1	4	0
60	5	4	8	1	3	1
61	6	8	5	0	3	0
62	10	9	10	1	NA	1
63	7	NA	5	1	3	0
64	9	4	10	2	4	1
65	9	5	9	2	4	0
66	4	5	NA	3	3	0
67	5	6	6	3	2	0
68	9	7	7	1	2	1
69	5	4	6	3	4	0
70	3	3	7	3	2	1
